antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Bookcases', 'Chairs'})",frozenset({'Tables'}),0.0010482180293501049,0.1069182389937107,0.0010482180293501049,1.0,9.352941176470589,0.000936144403570534,inf,0.89401888772298
frozenset({'Tables'}),"frozenset({'Bookcases', 'Chairs'})",0.1069182389937107,0.0010482180293501049,0.0010482180293501049,0.00980392156862745,9.352941176470587,0.000936144403570534,1.0088423936733295,1.0
frozenset({'Chairs'}),"frozenset({'Bookcases', 'Tables'})",0.11949685534591195,0.0010482180293501049,0.0010482180293501049,0.008771929824561405,8.36842105263158,0.0009229592711258785,1.0077920632270274,0.9999999999999999
"frozenset({'Bookcases', 'Tables'})",frozenset({'Chairs'}),0.0010482180293501049,0.11949685534591195,0.0010482180293501049,1.0,8.368421052631579,0.0009229592711258785,inf,0.8814270724029379
"frozenset({'Chairs', 'Tables'})",frozenset({'Bookcases'}),0.0020964360587002098,0.14046121593291405,0.0010482180293501049,0.5,3.559701492537313,0.0007537500714194674,1.719077568134172,0.7205882352941176
frozenset({'Bookcases'}),"frozenset({'Chairs', 'Tables'})",0.14046121593291405,0.0020964360587002098,0.0010482180293501049,0.007462686567164179,3.559701492537313,0.0007537500714194674,1.0054065982566478,0.8365853658536585
frozenset({'Bookcases'}),frozenset({'Supplies'}),0.14046121593291405,0.006289308176100629,0.0010482180293501049,0.007462686567164179,1.1865671641791045,0.00016481415555819252,1.0011822007849813,0.1829268292682926
frozenset({'Supplies'}),frozenset({'Bookcases'}),0.006289308176100629,0.14046121593291405,0.0010482180293501049,0.16666666666666666,1.1865671641791045,0.00016481415555819252,1.0314465408805031,0.15822784810126575
frozenset({'Accessories'}),frozenset({'Machines'}),0.03459119496855346,0.07756813417190776,0.0020964360587002098,0.06060606060606061,0.7813267813267812,-0.0005867383937871655,0.9819435991073239,-0.2247474747474747
frozenset({'Machines'}),frozenset({'Accessories'}),0.07756813417190776,0.03459119496855346,0.0020964360587002098,0.027027027027027025,0.7813267813267812,-0.0005867383937871655,0.99222571628232,-0.2327811682650392
frozenset({'Chairs'}),frozenset({'Accessories'}),0.11949685534591195,0.03459119496855346,0.0020964360587002098,0.01754385964912281,0.5071770334928231,-0.0020371029626992604,0.9826482479784368,-0.5246179966044143
frozenset({'Accessories'}),frozenset({'Chairs'}),0.03459119496855346,0.11949685534591195,0.0020964360587002098,0.06060606060606061,0.507177033492823,-0.0020371029626992604,0.9373097991479001,-0.5016233766233766
frozenset({'Storage'}),frozenset({'Copiers'}),0.03773584905660377,0.15618448637316562,0.0020964360587002098,0.05555555555555556,0.3557046979865772,-0.0037973181440607564,0.8934517203107658,-0.6530612244897959
frozenset({'Copiers'}),frozenset({'Storage'}),0.15618448637316562,0.03773584905660377,0.0020964360587002098,0.013422818791946308,0.35570469798657717,-0.0037973181440607564,0.9753561802079322,-0.6821950256612712
frozenset({'Tables'}),frozenset({'Accessories'}),0.1069182389937107,0.03459119496855346,0.0010482180293501049,0.00980392156862745,0.28342245989304815,-0.002650211621375737,0.9749673080515598,-0.738970588235294
frozenset({'Accessories'}),frozenset({'Tables'}),0.03459119496855346,0.1069182389937107,0.0010482180293501049,0.030303030303030304,0.28342245989304815,-0.002650211621375737,0.9209905660377359,-0.7236723672367237
frozenset({'Phones'}),frozenset({'Machines'}),0.1960167714884696,0.07756813417190776,0.0041928721174004195,0.021390374331550804,0.27576239340945224,-0.011011783113361375,0.9425943109828046,-0.7656226126814363
frozenset({'Machines'}),frozenset({'Phones'}),0.07756813417190776,0.1960167714884696,0.0041928721174004195,0.05405405405405405,0.2757623934094522,-0.011011783113361375,0.8499251272836178,-0.7400679367892482
frozenset({'Chairs'}),frozenset({'Storage'}),0.11949685534591195,0.03773584905660377,0.0010482180293501049,0.008771929824561405,0.23245614035087722,-0.0034610972667220444,0.9707797628986475,-0.7894736842105262
frozenset({'Storage'}),frozenset({'Chairs'}),0.03773584905660377,0.11949685534591195,0.0010482180293501049,0.02777777777777778,0.2324561403508772,-0.0034610972667220444,0.9056603773584906,-0.7743362831858409
frozenset({'Appliances'}),frozenset({'Accessories'}),0.13941299790356393,0.03459119496855346,0.0010482180293501049,0.007518796992481204,0.21736158578263845,-0.0037742441622826096,0.9727225080998666,-0.807095864661654
frozenset({'Accessories'}),frozenset({'Appliances'}),0.03459119496855346,0.13941299790356393,0.0010482180293501049,0.030303030303030304,0.21736158578263845,-0.0037742441622826096,0.8874803459119497,-0.7885674931129476
frozenset({'Copiers'}),frozenset({'Bookcases'}),0.15618448637316562,0.14046121593291405,0.0041928721174004195,0.026845637583892617,0.19112491235099668,-0.01774499074843207,0.883250198799971,-0.8337635518843571
frozenset({'Bookcases'}),frozenset({'Copiers'}),0.14046121593291405,0.15618448637316562,0.0041928721174004195,0.029850746268656716,0.19112491235099668,-0.01774499074843207,0.8697790678922754,-0.8311888831703551
frozenset({'Chairs'}),frozenset({'Tables'}),0.11949685534591195,0.1069182389937107,0.0020964360587002098,0.01754385964912281,0.16408668730650156,-0.01067995728017088,0.9090296495956874,-0.8526315789473684
frozenset({'Tables'}),frozenset({'Chairs'}),0.1069182389937107,0.11949685534591195,0.0020964360587002098,0.0196078431372549,0.16408668730650156,-0.01067995728017088,0.8981132075471698,-0.8508403361344538
frozenset({'Appliances'}),frozenset({'Phones'}),0.13941299790356393,0.1960167714884696,0.0041928721174004195,0.030075187969924817,0.1534317076112742,-0.023134413635184963,0.8289129410235158,-0.8650725173589711
frozenset({'Phones'}),frozenset({'Appliances'}),0.1960167714884696,0.13941299790356393,0.0041928721174004195,0.021390374331550804,0.1534317076112742,-0.023134413635184963,0.879397646951003,-0.8728184719976785
frozenset({'Chairs'}),frozenset({'Machines'}),0.11949685534591195,0.07756813417190776,0.0010482180293501049,0.008771929824561405,0.11308677098150784,-0.008220930079242648,0.9305949796849781,-0.899062725306417
frozenset({'Machines'}),frozenset({'Chairs'}),0.07756813417190776,0.11949685534591195,0.0010482180293501049,0.013513513513513513,0.11308677098150781,-0.008220930079242648,0.8925648315671577,-0.8947620186558242
frozenset({'Chairs'}),frozenset({'Copiers'}),0.11949685534591195,0.15618448637316562,0.0020964360587002098,0.01754385964912281,0.11232779936418229,-0.01656711891670952,0.8588836477987422,-0.899749373433584
